"","X","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"3566",3566,"HRAS","HRAS..3265.",0.0237010903053144,0.382989506663127,0.00770446407241432,-0.219118733160696,0.000873773751155531,0.602108239823822,"sp.P01112.RASH_HUMAN",0.0122741952892741,0.387781709069883,0.342973897318548,0.105163241242997,0.09762517495163,0.282618467826886,"Scaling","Buffering","Scaling","Anti-Scaling"
"2520",2520,"EP300","EP300..2033.",0.000112077300162516,0.455798536204898,1.16063502474508e-06,-0.369882909146342,3.09351160573877e-09,0.82568144535124,"sp.Q09472.EP300_HUMAN",0.000119702419086872,0.39192987638111,0.025107836437587,-0.135699838120331,2.01209626573958e-06,0.527629714501441,"Scaling","Scaling","Scaling","Buffering"
"3175",3175,"GNAQ","GNAQ..2776.",0.000121754521134964,0.475359661319971,0.39738414145221,-0.10683309292985,2.70707068024465e-05,0.582192754249821,"sp.P50148.GNAQ_HUMAN",0.00323705356754288,0.448111396017475,0.676491226029533,0.0503769392575903,0.0149692125652444,0.397734456759885,"Scaling","Buffering","Scaling","Buffering"
"7479",7479,"SMAD4","SMAD4..4089.",5.0772660073939e-06,0.761950991188762,2.16795655895543e-17,-0.957802607152519,1.85471466349335e-14,1.71975359834128,"sp.Q13485.SMAD4_HUMAN",0.00270246969748213,0.482098422625031,1.11987915797219e-13,-0.656102043542775,2.78314357970475e-08,1.13820046616781,"Scaling","Scaling","Scaling","Scaling"
"1684",1684,"COL5A1","COL5A1..1289.",0.0207748764583807,1.02061892329352,0.666439005179846,-0.115095512590235,0.0148959474464363,1.13571443588375,"sp.P20908.CO5A1_HUMAN",0.0473878903849319,0.514923798456335,0.860768381534683,-0.0300337370673039,0.0423443432895522,0.544957535523638,"Scaling","Buffering","Scaling","Buffering"
"6936",6936,"RRAS2","RRAS2..22800.",0.00221992031596438,0.792060881970795,0.1661055371354,-0.228526419724011,0.00019604371140701,1.02058730169481,"sp.P62070.RRAS2_HUMAN",0.00242902168280566,0.609859547136544,0.109644887617602,-0.198949308454209,0.000151718032841981,0.808808855590752,"Scaling","Buffering","Scaling","Buffering"
"1954",1954,"DACH1","DACH1..1602.",0.120559667136243,0.515402974914184,0.060717610885025,-0.220645027540072,0.0274838537172314,0.736048002454256,"sp.Q9UI36.DACH1_HUMAN",0.120536316408036,0.642975836753651,0.0766747878303756,-0.294037800137739,0.0252743698784591,0.93701363689139,"Scaling","Buffering","Scaling","Scaling"
"145",145,"ACVR1","ACVR1..90.",5.12072142480017e-06,0.823612002879536,0.901221393759912,-0.0164717692987359,2.72579370280326e-05,0.840083772178271,"sp.Q04771.ACVR1_HUMAN",2.25701283136546e-05,0.737007150778875,0.992721826056103,0.0011257506009824,0.000103830132373879,0.735881400177893,"Scaling","Buffering","Scaling","Buffering"
"2932",2932,"FOXA1","FOXA1..3169.",0.00023880164618403,1.4268645305202,0.0397365443729239,-0.517838651798043,4.67819228876808e-06,1.94470318231824,"sp.P55317.FOXA1_HUMAN",0.00106714524862492,1.18993486601606,0.0480110225792339,-0.560391185286627,1.63961590217009e-05,1.75032605130269,"Scaling","Scaling","Scaling","Scaling"
"2905",2905,"FLT3","FLT3..2322.",0.163218926604385,0.546826981068042,0.390188808634106,-0.0822989822408197,0.109978960944464,0.629125963308862,"sp.P36888.FLT3_HUMAN",0.0565488303014084,1.20427428384473,0.807132640114502,-0.0549148771744778,0.0504637149065331,1.25918916101921,"Scaling","Buffering","Scaling","Buffering"
