"","Gene_Symbol","Protein_ID.x","Protein.Diff.Gain.RPAA","Protein.Diff.Loss.RPAA","X","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID.y","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"95","PXN","Paxillin",0.0887872796094694,-0.0427059685386787,6399,"PXN..5829.",0.136672891514833,0.308774357181608,0.597022825656766,0.0929903852580791,0.367724642171841,0.215783971923529,"sp.P49023.PAXI_HUMAN",0.287099026165545,-0.164341663088019,0.487191491748755,-0.104235415751812,0.758274741616401,-0.0601062473362073,"Scaling","Buffering","Anti-Scaling","Buffering"
"96","PXN","Paxillin",0.0887872796094694,-0.0427059685386787,6400,"PXN..5829.",0.136672891514833,0.308774357181608,0.597022825656766,0.0929903852580791,0.367724642171841,0.215783971923529,"sp.P49023.3.PAXI_HUMAN",0.089617377862045,0.269076241377434,0.253846501798454,-0.138964169580635,0.0244980894283097,0.408040410958068,"Scaling","Buffering","Scaling","Buffering"
"97","RAB25","Rab25",0.024482638450282,0.0507440205929247,6449,"RAB25..57111.",0.317420622031785,-0.406851102905919,0.186320333093298,-0.713533118022786,0.612088736313422,0.306682015116866,"sp.P57735.RAB25_HUMAN",0.387526082449989,-0.250814528208255,0.425142211582743,-0.277714558378998,0.947169898195992,0.0269000301707427,"Anti-Scaling","Scaling","Anti-Scaling","Scaling"
"98","RAD50","Rad50",0.0242855086701894,-0.0548655258064516,6509,"RAD50..10111.",7.53545022238146e-06,0.518341429610704,0.000298746404938296,-0.287532661722453,9.59372307113498e-10,0.805874091333157,"sp.Q92878.2.RAD50_HUMAN",0.388690479964187,0.0788060068191001,0.513078021349737,0.0425012129856087,0.714677426102857,0.0363047938334914,"Scaling","Scaling","Buffering","Buffering"
"99","RAD51","RAD51",0.0100721020014223,-0.124052848224822,6510,"RAD51..5888.",0.320130190392875,0.122373079546923,0.000839315049472167,-0.283486389103001,0.00416120752771468,0.405859468649925,"sp.Q06609.3.RAD51_HUMAN",0.307166321887714,-0.245682309991493,0.0768770750837817,-0.16113086281949,0.730601903939078,-0.0845514471720024,"Buffering","Scaling","Anti-Scaling","Buffering"
"100","RAF1","C-Raf",0.160129205574913,-0.394371212047212,6519,"RAF1..5894.",0.000308942085454766,0.468943372059821,3.57807341412933e-12,-0.458511139761726,1.96098810674723e-08,0.927454511821547,"sp.P04049.RAF1_HUMAN",0.298423334458121,0.118491376359466,8.09606039836774e-09,-0.382803048129115,0.000204645638254977,0.501294424488581,"Scaling","Scaling","Buffering","Scaling"
"101","RB1","Rb",-0.0140658347188616,-0.295366011630786,6574,"RB1..5925.",0.780314627422691,0.0518242533566529,1.54031373339713e-07,-0.532039895294619,0.00322556665280359,0.583864148651272,"sp.P06400.RB_HUMAN",0.882875019167838,0.0319271472841509,0.00154691943382813,-0.289037762156283,0.143338359796691,0.320964909440433,"Buffering","Scaling","Buffering","Scaling"
"102","RBM15","RBM15",0.0986783841175574,-0.101400487796707,6591,"RBM15..64783.",0.0358623789417862,0.211736940083443,0.00547845633261777,-0.193585757321287,0.000401203871165567,0.40532269740473,"sp.Q96T37.RBM15_HUMAN",0.019742079694725,0.254389007029838,0.823164500257304,0.013025615581907,0.0384071044763744,0.241363391447931,"Buffering","Buffering","Scaling","Buffering"
"103","RICTOR","Rictor",0.26169453301757,-0.0728724287449392,6721,"RICTOR..253260.",1.71598612961331e-19,0.591808357881599,0.0668508092441496,-0.248028552001552,2.30493869862191e-07,0.839836909883151,"sp.Q6R327.3.RICTR_HUMAN",2.45408421165195e-09,0.286178401902217,0.587256395157734,-0.0470658796385446,0.000471618585797838,0.333244281540761,"Scaling","Buffering","Scaling","Buffering"
"104","RPS6KB1","p70S6K",0.20393423250227,-0.301964498703403,6920,"RPS6KB1..6198.",0.00121765306708593,0.305265979662045,0.00504665101432546,-0.26376919440509,3.27189266529428e-06,0.569035174067135,"sp.P23443.KS6B1_HUMAN",0.0127168245426842,0.250023002701863,0.0245800710260292,-0.215699823210273,0.000273052279261031,0.465722825912137,"Scaling","Scaling","Scaling","Buffering"
